,AutoARIMAExog_1P,AutoARIMAExog_6P,AutoARIMAExog_12P,AutoARIMAExog_36P,AutoARIMAExog_72P,AutoARIMAExog_144P,AutoARIMAExog_288P
device1,1.5454102897646147,7.058218114265908,9.195295726152205,16.14703489163776,18.381272957741203,18.744075058919215,17.34367207981853
device3,0.46092373924105556,1.5907369960352868,1.9636262549794512,4.029861514712154,6.326385485591772,8.32634598217102,8.742146135540668
device4,1.6942588532074552,6.219769664426315,7.105591611455714,10.8236900161608,12.448724445942943,15.994334999648759,17.976176492737643
device5,1.6986078651962662,4.805732429208927,5.410851081775202,6.850672955938158,8.822599404610223,9.601365884765324,7.065376426759685
device6,0.3369209877543473,2.3780851152281572,3.0112663974686074,6.260071614797594,9.65254179725487,12.848650626921367,14.353639818402323
device7,1.2614354230102849,5.726517835242278,10.016605333936862,19.70949898996909,25.52681923555397,27.04204763685677,25.59440412078646
device9,1.0255867609889082,4.471544151027304,7.529026425580812,18.54558334226727,28.667142889341978,36.316557474905956,42.4978309549757
device10,3.6004205877591087,12.675995094030805,18.01597502071631,27.119014285661468,25.45108259684195,25.327969040331265,24.860204496713312
device11,0.7763532466306327,3.2678292624230503,5.357160389682178,9.564747485051718,13.013355132896553,17.530593371823525,30.925309064409284
