,etsfullAautoNN,etsfullAautoAautoN,etsfullAautoAautoDautoN,ets144AautoNN,ets144AautoAautoN,ets144AautoAautoDautoN,ets72AautoNN,ets72AautoAautoN,ets72AautoAautoDautoN
device1,87.1514744758606,150.58690285682678,196.64143657684326,25.7350492477417,36.22224545478821,43.12901186943054,24.731414318084717,35.3469181060791,39.565420627593994
device3,108.71211099624634,275.54843378067017,412.55213737487793,43.924041509628296,62.02106952667236,68.24966287612915,42.791802406311035,60.62964987754822,63.95724439620972
device4,109.38833832740784,216.72865772247314,328.65360736846924,28.175225257873535,40.70352506637573,45.41749596595764,27.616695404052734,38.95843529701233,43.205486536026
device5,72.02707529067993,350.0716392993927,310.07241773605347,34.05201005935669,50.95633029937744,55.98654246330261,32.56687068939209,48.75590109825134,54.63981652259827
device6,109.44531393051147,237.13782405853271,291.3241219520569,27.488205909729004,42.09610986709595,45.603052377700806,26.359222173690796,41.625367164611816,44.5613751411438
device7,132.16290092468262,265.6931803226471,558.0539145469666,31.68566918373108,42.27494525909424,55.67397737503052,30.399360418319702,41.615453243255615,49.85542273521423
device9,27.000109434127808,53.42562508583069,76.24166798591614,18.344178438186646,24.384155750274658,27.407140254974365,17.410500049591064,24.695070505142212,26.070392370224
device10,29.88604760169983,60.215166330337524,98.32497525215149,13.62519907951355,20.057859420776367,22.903259754180908,13.32654356956482,19.385616064071655,21.166563034057617
device11,32.49701476097107,115.93925976753235,97.25074744224548,14.016329765319824,20.22528600692749,23.19700527191162,13.481133699417114,18.971354246139526,20.89134955406189
