,etsfullAautoNN_1P,etsfullAautoNN_6P,etsfullAautoNN_12P,etsfullAautoNN_36P,etsfullAautoNN_72P,etsfullAautoNN_144P,etsfullAautoNN_288P,etsfullAautoAautoN_1P,etsfullAautoAautoN_6P,etsfullAautoAautoN_12P,etsfullAautoAautoN_36P,etsfullAautoAautoN_72P,etsfullAautoAautoN_144P,etsfullAautoAautoN_288P,etsfullAautoAautoDautoN_1P,etsfullAautoAautoDautoN_6P,etsfullAautoAautoDautoN_12P,etsfullAautoAautoDautoN_36P,etsfullAautoAautoDautoN_72P,etsfullAautoAautoDautoN_144P,etsfullAautoAautoDautoN_288P,ets144AautoNN_1P,ets144AautoNN_6P,ets144AautoNN_12P,ets144AautoNN_36P,ets144AautoNN_72P,ets144AautoNN_144P,ets144AautoNN_288P,ets144AautoAautoN_1P,ets144AautoAautoN_6P,ets144AautoAautoN_12P,ets144AautoAautoN_36P,ets144AautoAautoN_72P,ets144AautoAautoN_144P,ets144AautoAautoN_288P,ets144AautoAautoDautoN_1P,ets144AautoAautoDautoN_6P,ets144AautoAautoDautoN_12P,ets144AautoAautoDautoN_36P,ets144AautoAautoDautoN_72P,ets144AautoAautoDautoN_144P,ets144AautoAautoDautoN_288P,ets72AautoNN_1P,ets72AautoNN_6P,ets72AautoNN_12P,ets72AautoNN_36P,ets72AautoNN_72P,ets72AautoNN_144P,ets72AautoNN_288P,ets72AautoAautoN_1P,ets72AautoAautoN_6P,ets72AautoAautoN_12P,ets72AautoAautoN_36P,ets72AautoAautoN_72P,ets72AautoAautoN_144P,ets72AautoAautoN_288P,ets72AautoAautoDautoN_1P,ets72AautoAautoDautoN_6P,ets72AautoAautoDautoN_12P,ets72AautoAautoDautoN_36P,ets72AautoAautoDautoN_72P,ets72AautoAautoDautoN_144P,ets72AautoAautoDautoN_288P
device1,2.0689701680930055,7.169340293540386,9.394951118370404,16.99029276073561,20.491084372180083,22.544350568213787,20.351735189362373,3.7654627454010647,10.188114098055605,13.636036142689125,20.538445586459495,27.596762004698288,32.81329195423943,33.93081761803488,1.7888666393388637,7.941603526826652,9.981746864045812,17.023818882382105,20.806694627861116,23.148991694420555,20.8957631165264,2.0689701680930055,7.169340293540386,9.394951118370404,16.99029276073561,20.491084372180083,22.544350568213787,20.351735189362373,3.794954033469687,9.738115580905495,12.672559130120868,19.268031801012718,26.5671790086724,32.022430666574586,32.08134745740533,2.1159370722714748,8.599601290265634,10.854017687608259,17.287014072976948,20.81762388585597,23.140004348422618,21.073083281627266,2.069614006736141,7.16917243307192,9.395224260494635,16.99022557431642,20.490639141694196,22.543964351262705,20.351671530121777,2.632868876292864,9.69545596595517,12.514828167021411,19.200006027098414,26.537656218549625,32.619661148799885,32.16246580821199,2.0842352120721075,8.534672546288615,10.765241833407469,16.919893785990027,21.013701247986454,23.697180977591888,21.757403531359483
device3,0.5558239338493833,1.5141948868697506,1.6674710371941024,3.1699864651240897,5.815362515424096,10.791119496351387,15.708088622612426,0.45575087380458135,1.8719431891050478,2.5566504425897225,6.029045579491154,11.57650702572344,21.360424258528194,28.714004865240675,0.3618508670742086,1.6612749645507585,1.8431357653672868,2.983122718955333,5.351961577184285,10.443977237951888,15.539784803862485,0.5558239338493833,1.5141948868697506,1.6674710371941024,3.1699864651240897,5.815362515424096,10.791119496351387,15.708088622612426,0.4788279989660605,1.821716481776866,2.468629036022427,5.799812710480845,10.998429753981679,19.990950302832424,26.97165700453593,0.4048445586456099,1.573196952472789,1.6803627965055572,2.983732273248243,5.476950670007287,10.495917923005354,15.603361896873203,0.5558239338493833,1.5141948868697506,1.6674710371941024,3.1699864651240897,5.815362515424096,10.791119496351387,15.706200883610268,0.4699657656462134,1.7393873321686038,2.263786230687154,5.172103816376382,9.960778778819847,18.979395148891047,26.189851048686155,0.4331288471928948,1.5685962794150312,1.6525984752814196,2.959371407153928,5.536758766375137,10.517741373559328,15.682747228412145
device4,1.6955387814377776,5.665541426768492,6.912929702954413,11.041952665743901,13.046824395570056,18.595890188999295,25.061297469140992,2.9866252951340693,9.937511846593,12.582963620857788,19.64547029123793,23.20055534795314,28.000001925408856,34.68522717660428,1.8199559575624829,7.538241133745802,8.953192325633687,12.6023816428566,14.067679896550375,19.126818023389333,25.688037158029914,1.6955387814377776,5.665541426768492,6.912929702954413,11.041952665743901,13.046824395570056,18.595890188999295,25.061297469140992,2.6760067623798403,7.728012556840498,10.54098530956017,16.893890202007253,21.106756858644673,26.11729608270911,31.717308001932718,1.9408286838180844,7.4819064087525025,9.486123161675247,13.197967783862957,14.348593881386623,19.082882327478202,25.64800149496153,1.695553943893856,5.6655414441085545,6.9129309208519665,11.041956840808894,13.046886624558942,18.59589980839475,25.061282850188988,2.733282180518695,8.664124705415846,10.7522476937364,16.65172058047664,20.486854552145335,25.38022379815406,31.578065846009476,1.9677510469594897,7.724457091621999,9.6768120112544,13.280712318868188,14.49366584392775,19.08611361368937,25.606640625406463
device5,1.8518889334755275,4.578098810772415,5.304970392510857,6.937298559154752,10.307438858502124,15.057516544448612,13.96080184571243,2.4332567597730335,7.705998779249111,10.76117888734107,13.39222510954368,15.860153727840387,22.076859579102777,25.684828758184956,2.1330120695675596,6.708405806548376,7.853627129941137,9.362962911101178,11.85164958298332,16.08785969258538,14.889145705705138,1.8518889334755275,4.578098810772415,5.304970392510857,6.937298559154752,10.307438858502124,15.057516544448612,13.96080184571243,2.2199576965133883,6.803205378415498,9.621691757399816,10.962542416355157,14.965383248659542,24.630684675346842,31.25656735505697,2.0198539677229865,5.6402875025084365,7.057822977312254,8.247332953604198,11.194073402417041,15.732676085395754,14.877347617991584,1.8518889334755275,4.578098810772415,5.304970392510857,6.937298559154752,10.307753322734024,15.05805600938554,13.961158942254812,2.2609338860916393,6.497250770079869,9.147998494312025,10.975686299151002,13.931209505480995,22.92634315013019,29.314217127326874,2.1475199560560854,5.44058230938946,7.5304783304265355,8.773781387414601,11.03797233326915,15.580014868519694,15.574167078369019
device6,0.7342907172030215,2.3093353772874567,2.5663774066600116,4.54454534406352,8.109331527559188,14.534678422056091,25.668451225871813,0.6491795524614146,2.5129799885076363,2.9802971932107063,6.071494693142957,11.44227155046585,23.788656765884667,31.007569354768897,0.3518219050018431,2.3123853173024536,2.4544483712365115,4.213643025493823,7.748359044444718,14.341551418721284,25.74842062148599,0.7342907172030215,2.3093353772874567,2.5663774066600116,4.54454534406352,8.109331527559188,14.534678422056091,25.668451225871813,0.6683698397532508,2.4003035631424927,2.6285981500613356,4.586052608061361,8.631964415035736,19.47178734623992,31.900331163539143,0.5986015916467603,2.3136734741462672,2.4548678483162427,4.165532429426592,7.5941705859132105,14.118947461809855,25.45009001553188,0.7342907172030215,2.3093353772874567,2.5663774066600116,4.545052572856751,8.110350051845261,14.534678422056091,25.668710299828298,0.6726400704924298,2.379256242350978,2.573683282777514,4.186294713729376,7.45321628201355,18.087367188204517,30.789578490728378,0.615826639208572,2.303634345584931,2.436878417448214,4.035516744149644,7.346308239645768,13.999525731111582,25.29194608215435
device7,1.616814081963064,7.388022950192797,10.324889201751441,18.96876366918664,28.989581794857624,39.56073630728818,30.58214735102467,1.6694479623197112,6.955894919793884,13.6234530139045,25.899887582146185,33.520143976547935,41.498975293229826,38.60617478700529,1.2639652375405053,6.000292319521872,9.813166132031263,18.021081730242482,27.54686759828903,39.19706083439229,32.63941568156396,1.616814081963064,7.388022950192797,10.324889201751441,18.96876366918664,28.989581794857624,39.56073630728818,30.58214735102467,1.6978524691072607,7.109871427757313,13.574751544575593,25.787450229345907,33.85638848621714,41.49748588104532,38.13391526872876,1.4443486077495362,6.321980943160144,10.158056538040242,18.100974745936036,27.403853309064612,38.5371363099863,32.158195068698646,1.616814081963064,7.388022950192797,10.324889201751441,18.96876366918664,28.989581794857624,39.56073630728818,30.58214735102467,1.8266509415383405,7.225738625977391,12.888608391445922,24.463019984407225,33.25878865849606,41.14883139874159,37.54840865057803,1.4603128384356565,6.476311406239294,10.478974173703227,18.814347244015032,27.859552485805967,39.315049143908446,32.702333338505774
device9,1.3407895840040394,4.19610597378382,6.4299370120906945,15.089556745559731,24.330900995924917,33.07463025695815,43.749718387782835,9.361633672759478,17.45876874098374,20.245953296622655,27.043224047371933,33.39381982146224,42.231541635260186,50.1738939683344,4.82108555430462,15.101427918963875,16.04951086797658,19.59356507137113,25.820322856573355,34.34630533950427,43.21311356071437,1.3407895840040394,4.19610597378382,6.4299370120906945,15.089556745559731,24.330900995924917,33.07463025695815,43.749718387782835,9.35909147653065,16.908210985103036,19.92440338510383,26.381088700735322,32.56089505460107,39.949415216851605,49.27483473695152,4.852317825997607,14.188632484236738,15.132784620663063,18.486790355076305,25.678979306415386,34.71344577274042,44.22398332053372,1.3407895840040394,4.19610597378382,6.4299370120906945,15.089556745559731,24.330900995924917,33.07463025695815,43.749718387782835,9.939583526354166,17.698463569390036,21.2041862644542,24.86483117043765,32.27658794056722,40.6187611220015,49.89446437088849,4.856242946290811,14.792419861448808,15.664281411967199,18.28087932099115,25.956071193949995,34.98570151946001,45.6918083491252
device10,4.219551580805845,11.620161427413835,19.523914287430163,33.97100023550877,32.11333978974094,33.66576660370448,35.683265622075815,4.114060514024883,10.185373174352359,13.416830012621759,30.38888090044296,33.18814983996239,31.496975342743593,32.010481800924296,3.7205933479760422,13.724022405480389,15.160213390392082,33.75379597355484,33.00431763420229,32.92959125795191,35.565826660818324,4.219551580805845,11.620161427413835,19.523914287430163,33.97100023550877,32.11333978974094,33.66576660370448,35.683265622075815,4.6732539692780914,16.008202007184465,13.926209510633857,34.07664908554709,33.160837643060596,33.07373870096392,34.54807428901691,4.024448611386155,13.72103057665453,15.76460274878959,33.9615629312355,33.15250892282366,33.06080420977427,35.62495231719082,4.219551580805845,11.620161427413835,19.523914287430163,33.97100023550877,32.11333978974094,33.66576660370448,35.683265622075815,4.713097594991822,15.663303162136895,11.799848401308132,34.08338869342196,33.51837835284437,33.647493221686844,34.24128955074769,4.085810784642741,13.802278634579537,13.649201121636754,33.968087459317296,33.18577097615262,33.062187440087015,35.67108005832872
device11,0.9069962421799035,3.4766110079079815,5.540118231636216,9.133713772021313,10.940797652554073,10.779463066793852,16.153052505485395,1.217505461112381,4.908290917804742,7.13914596699671,14.325044165881526,23.20512875054612,27.612360816401633,33.398687454613906,0.8770567216221391,3.521601018713325,5.409094115248529,9.216116802672847,11.089126008361543,10.976030942872786,16.316494097056832,0.9069962421799035,3.4766110079079815,5.540118231636216,9.133713772021313,10.940797652554073,10.779463066793852,16.153052505485395,0.958734975126287,4.13493961687171,7.059388119962293,13.782690948679008,22.277281655445393,26.599877468473938,32.096619037800956,1.0684803524518403,4.295214615534471,6.383444734173251,9.757007183342001,11.609028204614523,11.603292377943221,17.086439235888726,0.9070284289158083,3.4766190322603516,5.540113131944597,9.133721794058854,10.940783505382807,10.779463066793852,16.153052505485395,1.231237446408468,4.628162731091449,7.118631156866217,13.971332450482382,22.729588276771228,26.011695166642465,30.970336605340993,1.0729515047839526,4.318858973827514,6.3891879984857445,9.956355954243898,11.862678730934832,11.923867780351216,17.232984342996772
